frame_idx,vehicle_count,density_veh_per_100m,congestion_severity,avg_confidence,queue_estimate
291,5,5.0,none,0.875,5
292,5,5.0,none,0.861,5
293,5,5.0,none,0.868,5
294,5,5.0,none,0.879,5
295,5,5.0,none,0.853,5
296,5,5.0,none,0.844,5
297,5,5.0,none,0.886,5
298,5,5.0,none,0.892,5
299,5,5.0,none,0.888,5
300,5,5.0,none,0.862,5
