epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,62.8159,0.30086,1.1039,0.836,0.32716,0.51268,0.48584,0.47048,0.27191,2.37876,0.83096,0.0004538,0.0004538,0.0004538
30,65.4871,0.29604,1.08704,0.82203,0.36803,0.51956,0.49595,0.48095,0.27426,2.37478,0.82746,0.00045215,0.00045215,0.00045215
31,68.0758,0.30224,1.04168,0.82908,0.43579,0.49352,0.49975,0.48708,0.26805,2.49589,0.82477,0.0004505,0.0004505,0.0004505
32,70.6945,0.30597,1.05997,0.82508,0.39362,0.52872,0.52085,0.50875,0.26701,2.53528,0.82544,0.00044885,0.00044885,0.00044885
33,73.2499,0.29274,1.04811,0.82083,0.46014,0.50195,0.50814,0.49558,0.28104,2.52612,0.82894,0.0004472,0.0004472,0.0004472
34,75.7526,0.29193,0.99957,0.83462,0.35339,0.58053,0.51078,0.4928,0.28122,2.3924,0.82776,0.00044555,0.00044555,0.00044555
35,78.3054,0.27564,0.94588,0.81907,0.50896,0.57481,0.55496,0.54166,0.2617,2.34593,0.81775,0.0004439,0.0004439,0.0004439
36,80.9926,0.29899,0.95954,0.82621,0.44846,0.5968,0.55221,0.54303,0.24015,2.40601,0.81363,0.00044225,0.00044225,0.00044225
37,83.6474,0.2766,0.95758,0.82246,0.36606,0.59153,0.54008,0.5262,0.25013,2.45263,0.8228,0.0004406,0.0004406,0.0004406
38,86.1576,0.3068,0.97093,0.83093,0.42589,0.56425,0.51561,0.50263,0.27784,2.46921,0.82756,0.00043895,0.00043895,0.00043895
39,88.7068,0.28837,0.91602,0.82831,0.48493,0.54817,0.53946,0.52946,0.28638,2.49298,0.82927,0.0004373,0.0004373,0.0004373
40,91.2519,0.25605,0.86967,0.82039,0.5536,0.54926,0.53949,0.52957,0.26654,2.51998,0.82391,0.00043565,0.00043565,0.00043565
41,94.003,0.28076,0.87938,0.81617,0.39922,0.58102,0.50379,0.48662,0.29955,2.51207,0.83046,0.000434,0.000434,0.000434
